category,task_name,best_speedup,correctness_pass,compile_pass,num_runs,base_ms,best_opt_ms,best_run_source
attention,hip2hip/hip_kernel_extend_full/chushi/concat_and_cache_mla,0.9567,True,True,3,0.015209,0.015913,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_concat_and_cache_mla_20260602_160859/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/mhc_kernels,0.9508,True,True,3,0.158512,0.158842,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_mhc_kernels_20260602_160859/task_result.yaml
moe/routing,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/topk_per_row_kernels,0.9398,True,True,3,0.757553,0.756388,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_topk_per_row_kernels_20260602_160859/task_result.yaml
moe/routing,campaign20/baseline/fused_moe_int4_w4a16,0.0000,False,False,3,,,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/campaign20_baseline_fused_moe_int4_w4a16_20260620_174937/task_result.yaml
moe/routing,campaign20/baseline/_topk_forward,0.0000,False,True,3,,,AgentKernelArena/workspace_claude_opus_4.8_campaign20_0620_MI300_geak_v3/run_20260620_174937/campaign20_baseline__topk_forward_20260620_174937/task_result.yaml
gemm,hip2hip/hip2hip_extracted_chushi/vllm_wvsplitk,0.0000,False,True,1,,,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-chushi_MI300_geak_v3/run_20260510_162204/hip2hip_hip2hip_extracted_chushi_vllm_wvsplitk_20260510_162204/task_result.yaml
attention,hip2hip/hip2hip_extracted_chushi/aiter_flash_attn_varlen_func,0.0000,False,True,1,,,AgentKernelArena/old_results/workspace_gpt54_hip2hip-extracted-chushi_MI300_geak_v3/run_20260510_162204/hip2hip_hip2hip_extracted_chushi_aiter_flash_attn_varlen_func_20260510_162204/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/puyuan_lv12/level1/fused_qk_rmsnorm_group_quant,0.0000,False,False,3,0.128000,,AgentKernelArena/workspace_claude_opus_4.8_campaign20_parallel1_0622_MI300_geak_v3/run_20260622_112802/campaign20_baseline__w8a8_triton_block_scaled_mm_20260622_112802_logs/_preflight_worktree/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level1_fused_qk_rmsnorm_group_quant_20260602_160859/task_result.yaml
norm,hip2hip/hip_kernel_extend_full/puyuan_lv12/level2/fused_qk_norm_rope_cache_quant,0.0000,True,True,1,,,AgentKernelArena/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv12_level2_fused_qk_norm_rope_cache_quant_20260602_160859/task_result.yaml
pos-embedding,hip2hip/hip_kernel_extend_full/chushi/rotary_embedding,0.0000,False,True,1,0.020460,,AgentKernelArena/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_chushi_rotary_embedding_20260602_160859/task_result.yaml
attention,hip2hip/hip_kernel_extend_full/puyuan_lv3/pa_prefill,0.0000,False,False,1,,,AgentKernelArena/workspace_claude_opus_4.6_full_MI300_geak_v3/run_20260602_160859/hip2hip_hip_kernel_extend_full_puyuan_lv3_pa_prefill_20260602_160859/task_result.yaml
